initial_lat,initial_lon,windage_coefficient,terminal_lat,terminal_lon,synthetic_bfo,satellite_probability_weight,barnacle_survival_probability,fused_drift_sat_barnacle_weight,acoustic_waveguide_probability,final_joint_probability
-30.073803618042625,91.93094037851164,0.0121647256679423,-30.0245759435781,91.80452230601584,179.49726075187573,0.9989323502652956,0.0243978432256371,0.0244570271520771,0.3949478246385073,0.009660504702079867
-33.05109919458221,92.88572136326704,0.0118376820286491,-33.087967462396264,92.8590972568092,179.52474781459037,0.996394731447471,0.9814746960883274,0.9813562241208348,0.5052228207858044,0.49586797975572794
-34.570310916043134,90.99284594604384,0.0163859904212449,-34.49261595309772,91.02435091740244,179.52460714521604,0.9964078053369384,0.9994369280346942,0.9993294001036924,0.7939975488071307,0.793568189458086
-32.53010419186525,90.7106180840415,0.0150570492519785,-32.57199910318687,90.68713718273732,179.50853478131248,0.9978956780507976,0.9358359889676332,0.9371325780741476,0.6100172757263264,0.571741339264496
-32.0967375278505,93.59867530596534,0.0126026815794452,-31.99402607078182,93.45166583434344,179.5206163492607,0.9967783391755716,0.7747038689598453,0.7749085775986764,0.40893352944506395,0.31692727280742045
-30.81972926774825,93.40534847988452,0.0135751659741395,-30.75828969919744,93.2973009237515,179.51124377303486,0.9976457186360104,0.1353716559084516,0.1355252558965521,0.36365103925669673,0.04929030363462394
-32.4553732935017,92.09082348832968,0.0123195985090742,-32.4308031369267,91.9815387971419,179.51489476006054,0.9973083138835364,0.9110892530931964,0.911814543245977,0.5117137301914192,0.46664864518703164
-33.858429779715344,92.1352820459742,0.0127447569038665,-33.86375162017156,91.96406214509206,179.52517530532936,0.9963549947304632,0.9972934736232508,0.997133324442406,0.6338115889920154,0.6320767721902106
-31.293836553220924,91.58953403487304,0.0161919166921892,-31.2222044152113,91.33022889676262,179.5026237658364,0.9984399308131748,0.3330352263967162,0.333678531777243,0.4730534919430989,0.15786830388823217
-33.373144536679526,93.4058348464317,0.0141366515741248,-33.323633972422904,93.44417427551016,179.52993617112242,0.9959118979326592,0.989636881978165,0.9890379238628364,0.48746856297282276,0.48218753820490057
-31.920475851022893,92.9861001943674,0.0133003671934232,-31.80222068256328,92.91957413297244,179.51604860617215,0.997201555810317,0.6803871829683714,0.680855927445647,0.4241205393957301,0.2888025025807492
-32.448751517508974,90.28737188180123,0.0117777064268712,-32.433947228727604,90.17121381658956,179.50468578325686,0.9982502524910252,0.9117239218596294,0.913311508540426,0.6372516889856988,0.5820849221531881
-33.28211341755774,92.65726198664969,0.0134872129239386,-33.25798944703089,92.56229663653674,179.5242188350288,0.996443890456099,0.9878111943231432,0.9877406871297498,0.5365512105884562,0.5300423211494085
-33.87113406767551,93.23898182198567,0.0135460470807689,-33.79518254260444,93.19534958256676,179.53184957293357,0.9957335280669192,0.996788998908434,0.9960072932096142,0.5387769357496804,0.5366954814784923
-31.86466207504069,93.22558956363368,0.0139238544262991,-31.792274860999097,93.13248777342962,179.51727132787883,0.9970883592351046,0.6749560453516127,0.6753443782067359,0.41370587473396236,0.27943023852955035
-34.644550034008965,90.6359194241527,0.0109611602818289,-34.628481903574546,90.62369166769663,179.52345472469634,0.996514878240534,0.999599022730426,0.999598881631549,0.8571358003719262,0.8569033108785806
-33.37331861626188,90.28896433185363,0.0150520772593047,-33.37499621506625,90.20616139746836,179.5117740606712,0.9975967498383314,0.9908742770485868,0.9919498848789728,0.7324131164848543,0.726611503319646
-31.42167408275817,93.32531814521016,0.0139679608591311,-31.27148650988147,93.27101574612117,179.51454804615648,0.997340381326974,0.3609406647353052,0.3612396134274102,0.38435253088443305,0.13886139966516073
-31.1241722647184,92.33244553676178,0.0140417938413051,-31.078513594888665,92.12921375390154,179.50632186475644,0.9980996169750662,0.2585121630694852,0.2589232335171489,0.42578068920223766,0.11025883694324895
-34.65928192262374,93.29604465562312,0.0124613373466895,-34.651619493663695,93.37530441483626,179.53919878958942,0.9950468895589024,0.9996215502502802,0.998148844165413,0.6051716274663663,0.6041298451789736
-32.57009681526877,94.72556625092344,0.0114024605253276,-32.5136368678073,94.66931442789097,179.53178962266549,0.9957391192178804,0.9264975164372188,0.925776133298342,0.3801381249968319,0.35196852898840986
