particle_id,leeway_class,terminal_lat,terminal_lon,synthetic_bfo,satellite_probability_weight
low_windage_194,low_windage,-35.23330701056853,93.740882993493,179.54568937622273,0.999758382537558
low_windage_195,low_windage,-35.19954241639221,93.73114785761152,179.5453793765196,0.9997876411807005
low_windage_196,low_windage,-35.17955015247231,93.76285385863817,179.5454180971557,0.9997839868554428
low_windage_197,low_windage,-35.170305443870674,93.73903126036092,179.54520778545634,0.9998038345614196
low_windage_198,low_windage,-35.17201217885082,93.7624026929228,179.54535916027368,0.9997895490960593
low_windage_199,low_windage,-35.198770929467265,93.6996125326044,179.54518681940206,0.9998058130773685
low_windage_200,low_windage,-35.20948891183379,93.72925571381982,179.5454424765726,0.9997816859721687
low_windage_201,low_windage,-35.20283073086942,93.7319725081488,179.54540882867207,0.9997848615903632
low_windage_202,low_windage,-35.18076648371193,93.72900018858589,179.5452264163065,0.9998020763963896
low_windage_203,low_windage,-35.21871563642715,93.7345578431306,179.54554283994298,0.9997722135843129
low_windage_204,low_windage,-35.19347371099156,93.73978064079746,179.54538521435674,0.9997870902293214
low_windage_205,low_windage,-35.19965112610051,93.6816870817062,179.545087298485,0.9998152043553635
low_windage_206,low_windage,-35.20417394047072,93.74157927667812,179.54547579970748,0.999778540954279
low_windage_207,low_windage,-35.19296463922602,93.77549290192394,179.54559323213263,0.999767457351238
low_windage_208,low_windage,-35.1980193249099,93.7226615027388,179.54531771358737,0.9997934605840245
low_windage_209,low_windage,-35.19679072299241,93.74348343013236,179.54543193894946,0.9997826804964107
low_windage_210,low_windage,-35.189616170469336,93.7220600544339,179.54525137873787,0.9997997207050814
low_windage_211,low_windage,-35.22575306667164,93.74664672834068,179.54566707012972,0.999760487994204
low_windage_212,low_windage,-35.16666930474448,93.75930993888367,179.5453009369335,0.9997950438412474
low_windage_213,low_windage,-35.20491278546867,93.71191640168207,179.54530557153063,0.9997946064633216
low_windage_214,low_windage,-35.19772776198677,93.7298832775422,179.54535832690274,0.9997896277453397
low_windage_215,low_windage,-35.236188247686684,93.73117671289336,179.54565341599024,0.9997617767878717
low_windage_216,low_windage,-35.21104974868993,93.739936006684,179.5455174278646,0.9997746120428155
low_windage_217,low_windage,-35.155974847895315,93.70202796372834,179.54488148484236,0.9998346245129324
low_windage_218,low_windage,-35.23099275638225,93.73466610012926,179.5456352442976,0.9997634919735214
low_windage_219,low_windage,-35.19859855936411,93.74259285857654,179.5454401619587,0.9997819044222039
low_windage_220,low_windage,-35.196231045769466,93.7588875951325,179.54551910369312,0.99977445387463
low_windage_221,low_windage,-35.19944263653371,93.70732916124172,179.5452375303001,0.9998010275782272
low_windage_222,low_windage,-35.21354674589693,93.72134166799546,179.5454259168369,0.9997832488516389
low_windage_223,low_windage,-35.19019694842448,93.74320312782903,179.5453810336488,0.9997874847877287
low_windage_224,low_windage,-35.210226393226485,93.7444451982448,179.54553800278006,0.9997726701306634
low_windage_225,low_windage,-35.20554015787994,93.72022677676613,179.545359481181,0.9997895188104605
low_windage_226,low_windage,-35.16986955259875,93.72868760575903,179.54514320434623,0.9998099288613292
low_windage_227,low_windage,-35.19517394011924,93.6892370967904,179.54509851964576,0.9998141454944077
low_windage_228,low_windage,-35.18270534801866,93.76970178798145,179.5454822822247,0.9997779291322859
low_windage_229,low_windage,-35.17193462137132,93.7333130896502,179.54518604239868,0.9998058864009209
low_windage_230,low_windage,-35.18164820727032,93.78663801096695,179.5455749227436,0.9997691854839237
low_windage_231,low_windage,-35.189446997060344,93.73038015178318,179.54529942017123,0.9997951869814898
low_windage_232,low_windage,-35.20833109172259,93.72508792073948,179.54540913273533,0.9997848328937399
low_windage_233,low_windage,-35.176809990011094,93.72561892835422,179.54517683227687,0.999806755531292
low_windage_234,low_windage,-35.16729617367522,93.7578369967558,179.54529687498734,0.9997954271759442
low_windage_235,low_windage,-35.22025192313952,93.72054412485508,179.54547130808226,0.9997789648741521
low_windage_236,low_windage,-35.17100748073449,93.73495748302636,179.54518887061855,0.9998056195098949
low_windage_237,low_windage,-35.19603320375113,93.72093929859136,179.54529267275385,0.9997958237490784
low_windage_238,low_windage,-35.2244752755949,93.76114786209166,179.54574348373504,0.9997532752736472
low_windage_239,low_windage,-35.231356184325755,93.70503650467782,179.5454625117138,0.9997797950733261
low_windage_240,low_windage,-35.203748462295685,93.7512290959804,179.5455298293968,0.9997734415573754
low_windage_241,low_windage,-35.1864111270595,93.7578448763186,179.54543959775617,0.9997819576708171
low_windage_242,low_windage,-35.21312162206239,93.78964360903969,179.54582771835766,0.9997453240175959
low_windage_243,low_windage,-35.209601067323426,93.70037386883652,179.5452722668011,0.9997977494880899
low_windage_244,low_windage,-35.176907605592724,93.69133392641004,179.54497445993093,0.9998258518092287
low_windage_245,low_windage,-35.22414884115028,93.75958754180104,179.54573179317393,0.9997543787689682
low_windage_246,low_windage,-35.1791330120945,93.70285149619274,179.54505928695826,0.9998178475786499
low_windage_247,low_windage,-35.18434598149129,93.78497412037716,179.5455851771438,0.9997682176236645
low_windage_248,low_windage,-35.204804884692884,93.7262989110544,179.54538995981977,0.999786642370644
low_windage_249,low_windage,-35.18763094197032,93.74842079159136,179.5453928111087,0.9997863732763936
low_windage_250,low_windage,-35.184430900378864,93.71674706129822,179.5451811702227,0.9998063461733981
low_windage_251,low_windage,-35.20950444772555,93.74425354257502,179.54553147313877,0.9997732864166656
low_windage_252,low_windage,-35.24842282893086,93.72691526852158,179.5457196665871,0.9997555234151025
low_windage_253,low_windage,-35.23011417830142,93.7504070091064,179.54572195007958,0.9997553078734401
low_windage_254,low_windage,-35.20250175146428,93.7265690016568,179.54537435261162,0.9997881153155171
low_windage_255,low_windage,-35.22304745486679,93.73177285123312,179.54555871474727,0.9997707152639134
low_windage_256,low_windage,-35.168685541490305,93.75219927653244,179.54527379559275,0.9997976052144827
low_windage_257,low_windage,-35.174500216172504,93.79533141938774,179.5455732126432,0.9997693468910711
low_windage_258,low_windage,-35.163126771642084,93.74073938905104,179.54516433473725,0.9998079348788655
low_windage_259,low_windage,-35.225984477366374,93.74906468370465,179.5456831303719,0.9997589720813489
low_windage_260,low_windage,-35.14960920543872,93.75566218111535,179.54515200684864,0.9998090982101767
low_windage_261,low_windage,-35.20412258920115,93.7257642802911,179.54538169449972,0.9997874224193275
low_windage_262,low_windage,-35.16728748681802,93.7016211446238,179.54496353621542,0.9998268825412563
low_windage_263,low_windage,-35.188328983566024,93.76685882682126,179.5455073916474,0.9997755592792447
low_windage_264,low_windage,-35.158826153381895,93.73289582897849,179.54508572453264,0.9998153528775722
low_windage_265,low_windage,-35.195391023052764,93.70424598027982,179.54518899902544,0.9998056073924947
low_windage_266,low_windage,-35.209982908664934,93.77956877091424,179.5457444894749,0.9997531803395712
low_windage_267,low_windage,-35.186296636648706,93.70502377354272,179.5451256617567,0.9998115842633564
low_windage_268,low_windage,-35.24799965639355,93.70443182027884,179.54558341528636,0.9997683839166938
low_windage_269,low_windage,-35.21611065349834,93.7415755513953,179.5455649591294,0.9997701258938366
low_windage_270,low_windage,-35.19075009357465,93.7072521312484,179.54517212835964,0.9998071994237611
low_windage_271,low_windage,-35.22127554951276,93.72631046338228,179.54551311283686,0.9997750193035377
low_windage_272,low_windage,-35.24167268318827,93.74118108805511,179.54575368373082,0.9997523124707112
low_windage_273,low_windage,-35.177400136235754,93.75750631369172,179.54537032236877,0.9997884956716698
low_windage_274,low_windage,-35.20798132381229,93.69727502234554,179.54524181621315,0.9998006231187543
low_windage_275,low_windage,-35.19472671967685,93.75273619030165,179.54547138766497,0.9997789573631379
low_windage_276,low_windage,-35.183548577141465,93.75642021971248,179.54540977633638,0.9997847721524946
low_windage_277,low_windage,-35.206345920067434,93.74547690956216,179.54551512909475,0.9997748290052958
low_windage_278,low_windage,-35.22292181238106,93.73503659287276,179.54557711177011,0.9997689788733339
low_windage_279,low_windage,-35.18927902450388,93.74717558781089,179.54539773327986,0.9997859087389707
low_windage_280,low_windage,-35.197917771047166,93.73590764498944,179.5453954496801,0.9997861242573245
low_windage_281,low_windage,-35.22342555338724,93.69595727892916,179.5453494760944,0.9997904630373644
low_windage_282,low_windage,-35.21360341946944,93.73192221849295,179.5454890205356,0.9997772931663943
low_windage_283,low_windage,-35.21743580517504,93.70715036381748,179.5453709478922,0.9997884366376366
low_windage_284,low_windage,-35.15853123187597,93.68065454085824,179.54477398738206,0.9998447669944309
low_windage_285,low_windage,-35.15582768840517,93.76560583777317,179.5452574120001,0.9997991513451268
low_windage_286,low_windage,-35.22483507479036,93.68840884712098,179.54531535108487,0.9997936835404064
low_windage_287,low_windage,-35.209022777037376,93.71499599199548,179.54535452366306,0.9997899866752235
low_windage_288,low_windage,-35.19642815144389,93.7535498167177,179.54548891851917,0.9997773027947824
low_windage_289,low_windage,-35.19613754320393,93.74456818277524,179.54543349164314,0.9997825339559467
low_windage_290,low_windage,-35.17039839327515,93.75937655009098,179.54532916066972,0.9997923802852731
low_windage_291,low_windage,-35.202432022577995,93.7270699753031,179.54537679995263,0.9997878843461458
low_windage_292,low_windage,-35.18095768325214,93.70816477787794,179.5451043866184,0.9998135918677576
low_windage_293,low_windage,-35.21344613580131,93.75914775095568,179.5456492232455,0.9997621725330457
low_windage_294,low_windage,-35.22104113270078,93.72089206425552,179.54547926787,0.9997782136282557
low_windage_295,low_windage,-35.20276410032152,93.7128286754084,179.5452949182596,0.9997956118363327
low_windage_296,low_windage,-35.20576345637235,93.72985883109594,179.54541821441632,0.9997839757886723
low_windage_297,low_windage,-35.20963583493502,93.77560363834009,179.54571837065464,0.9997556457396564
