latitude,longitude,acoustic_probability,timing_delta_sec
-33.86577181208054,92.51879194630872,3.217576352019366e-69,444.00132745599876
-33.919463087248324,92.49127516778523,1.7744237962419215e-69,444.83830723673964
-33.97315436241611,92.46375838926174,9.793328018594914e-70,445.67260288550824
-34.02684563758389,92.43624161073826,5.4093864183097345e-70,446.50422847852997
-34.080536912751676,92.40872483221477,2.990271981034969e-70,447.3331981906226
-34.13422818791946,92.38120805369128,1.654316121489317e-70,448.15952629308913
-34.18791946308725,92.35369127516779,9.159494502272998e-71,448.98322715157656
-34.241610738255034,92.3261744966443,5.075393238176601e-71,449.8043152239875
-34.29530201342282,92.29865771812081,2.814576064918462e-71,450.62280505836407
-34.348993288590606,92.27114093959732,1.562072649740908e-71,451.4387112908071
-34.40268456375839,92.24362416107383,8.676292393986609e-72,452.2520486433709
-34.45637583892618,92.21610738255033,4.822936429143145e-72,453.06283192199453
-34.51006711409396,92.18859060402684,2.6830756888596437e-72,453.87107601442403
-34.56375838926174,92.16107382550337,1.4938186895455307e-72,454.6767958881587
-34.61744966442953,92.13355704697987,8.323498565961982e-73,455.480006588381
-34.671140939597315,92.10604026845638,4.641479026727604e-73,456.2807232359246
-34.7248322147651,92.07852348993289,2.4365919666548273e-73,457.16259615778563
-34.77852348993289,92.0510067114094,1.2035272100876791e-73,458.12587680877914
-34.83221476510067,92.02348993288591,6.609107499520358e-74,458.9428726153965
-34.88590604026846,91.99597315436242,3.2660402305275534e-74,459.9017810482819
-34.939597315436245,91.96845637583893,1.7171675787717191e-74,460.77464761076
-34.993288590604024,91.94093959731543,8.488563050163053e-75,461.72930684628
-35.04697986577181,91.91342281879194,4.752875292946171e-75,462.5136919795068
-35.100671140939596,91.88590604026847,2.663254549655894e-75,463.2957115665113
-35.15436241610738,91.85838926174497,1.4934880408991307e-75,464.07538130047396
-35.20805369127517,91.83087248322148,8.381511914057684e-76,464.85271693030427
-35.261744966442954,91.80335570469799,4.707314326909557e-76,465.62773425875
-35.31543624161074,91.7758389261745,2.6457746633740878e-76,466.4004491404294
-35.369127516778526,91.74832214765101,1.6593170819810635e-76,467.0252414835609
-35.42281879194631,91.72080536912752,9.34293664781941e-77,467.7932656920475
-35.47651006711409,91.69328859060403,5.264555985725395e-77,468.55903490343053
-35.53020134228188,91.66577181208054,2.9686758873053774e-77,469.32256516218195
-35.58389261744966,91.63825503355704,1.6752700417807286e-77,470.08387255532034
-35.63758389261745,91.61073825503357,9.460761873047668e-78,470.84297321061786
-35.691275167785236,91.58322147651008,5.346688058002267e-78,471.59988329475345
-35.74496644295302,91.55570469798658,3.0238424959600623e-78,472.35461901155895
-35.79865771812081,91.5281879194631,1.711382757098023e-78,473.10719660017867
-35.85234899328859,91.5006711409396,9.692745993995125e-79,473.8576323333564
-35.90604026845637,91.47315436241611,5.493589184598315e-79,474.60594251565
-35.95973154362416,91.44563758389262,3.484362662245506e-79,475.2051362297598
-36.013422818791945,91.41812080536913,2.2128088085723782e-79,475.80190164063197
-36.06711409395973,91.39060402684564,1.2575138510643875e-79,476.54365711448145
-36.12080536912752,91.36308724832215,7.151264201666185e-80,477.28335175111806
-36.1744966442953,91.33557046979867,4.069600202811496e-80,478.021001990448
-36.22818791946309,91.30805369127518,2.3174865046525877e-80,478.75662429401154
-36.281879194630875,91.28053691275169,1.3206168806733461e-80,479.49023514333476
-36.335570469798654,91.2530201342282,7.53057621007047e-81,480.22185103828815
-36.38926174496644,91.2255033557047,4.297034371428687e-81,480.9514884954883
-36.442953020134226,91.19798657718121,2.453557153934085e-81,481.6791640467013
-36.49664429530201,91.17046979865772,1.4018698396685748e-81,482.40489423726467
-36.5503355704698,91.14295302013423,8.014948790535051e-82,483.12869562451215
-36.604026845637584,91.11543624161074,4.58535218344532e-82,483.8505847762567
-36.65771812080537,91.08791946308725,2.6249487345761523e-82,484.5705782692344
-36.711409395973156,91.06040268456377,1.5036348725566984e-82,485.2886926876158
-36.76510067114094,91.03288590604028,8.618557793000896e-83,486.004944621483
-36.81879194630872,91.00536912751679,4.9430456461889685e-83,486.71935066539163
-36.87248322147651,90.9778523489933,2.8367403424562954e-83,487.4319274168729
-36.92617449664429,90.9503355704698,1.6289455866223727e-83,488.1426914750141
-36.97986577181208,90.92281879194631,9.359499927098607e-84,488.8516594390235
-37.033557046979865,90.89530201342282,5.380898460979434e-84,489.55884790682603
-37.08724832214765,90.86778523489933,3.0953517037144177e-84,490.2642734736596
-37.14093959731544,90.84026845637584,1.7816204665296208e-84,490.9679527307262
-37.19463087248322,90.81275167785235,1.0260470237552479e-84,491.6699022638072
-37.24832214765101,90.78523489932887,5.912390039007627e-85,492.3701386519374
-37.30201342281879,90.75771812080538,3.408783753231076e-85,493.0686784660775
-37.355704697986575,90.73020134228189,1.9664059384124134e-85,493.76553826781947
-37.40939597315436,90.7026845637584,1.1349611816466438e-85,494.4607346080902
-37.46308724832215,90.6751677852349,6.554199610827509e-86,495.1542840258717
-37.51677852348993,90.64765100671141,3.786917397675806e-86,495.8462030469732
-37.57046979865772,90.62013422818792,2.1891532622335476e-86,496.5365081827731
-37.624161073825505,90.59261744966443,1.2661562204310802e-86,497.2252159290015
-37.67785234899329,90.56510067114094,7.326824692409527e-87,497.91234276456044
-37.73154362416108,90.53758389261745,4.241878757374564e-87,498.59790515031364
-37.785234899328856,90.51006711409397,2.4570340614803636e-87,499.28191952793895
-37.83892617449664,90.48255033557048,1.423872427740434e-87,499.96440231876295
-37.89261744966443,90.45503355704699,8.255329926969072e-88,500.6453699226345
-37.946308724832214,90.4275167785235,4.7884800891378013e-88,501.3248387168287
-38.0,90.4,2.778799758677488e-88,502.00282505490395
